id,price,baths,rooms,sqm,description,location,size_raw,url,title,description_source,scraped_at
1551889,85000000,6,5,460,The property is located in a premium and secure community and is ideal for family living.,Emaar Canyon Views,22 marla,https://www.graana.com/property/listing-1551889/,22 Marla house for sale,graana,2026-08-18T02:48:21+0500
1551528,23000000,7,5,105,"🏡 5 Marla Beautiful Double & Half Story House for Sale – Islamabad Location: Shahbaz Garden, Tamma Road, Islamabad 📍 DHA Margalla Orchard ke bilkul qareeb ✨ Property Features: • 5 Marla complete building • Double + Half Story (2.5 Storey) • Beautiful & well-maintained house • Peaceful and family-friendly location • DHA Margalla Orchard ke qareeb • Ideal for living & investment 📞 Serious buyers contact karein for price, pictures aur further details. Direct dealing — genuine buyers only.",Ali Pur,5 marla,https://www.graana.com/property/listing-1551528/,5 Marla House for Sale,graana,2026-08-18T02:48:24+0500
1551078,59500000,5,5,209,"10 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,10 marla,https://www.graana.com/property/listing-1551078/,10 Marla House for Sale,enriched,2026-08-18T02:48:29+0500
1551075,29500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1551075/,5 Marla House for Sale,enriched,2026-08-18T02:48:33+0500
1551068,28500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1551068/,5 Marla House for Sale,enriched,2026-08-18T02:48:37+0500
1551058,44000000,3,3,84,"4 Marla House for Sale, 3 bedrooms, 3 bathrooms, located in D-12, Islamabad Condition: Good - in a good shape, needs cosmetic updates. Amenities: kitchen, parking, TV lounge, drawing room. Utilities: gas, sewerage, electricity, water supply. Nearby: mosque nearby, schools nearby, hospitals nearby, restaurants nearby.",D-12,4 marla,https://www.graana.com/property/listing-1551058/,4 Marla House for Sale,enriched,2026-08-18T02:48:43+0500
1551026,200000000,7,7,376,"18 Marla house for sale, 7 bedrooms, 7 bathrooms, located in G-10/1, Islamabad Condition: Excellent - in a good shape & well maintained. Amenities: 2 balconys, 2 kitchens, 2 TV lounges, servant quarter. Utilities: gas, security, sewerage, electricity, water supply. Nearby: mosque nearby, schools nearby, hospitals nearby, restaurants nearby.",G-10/1,18 marla,https://www.graana.com/property/listing-1551026/,18 Marla house for sale,enriched,2026-08-18T02:48:47+0500
1550936,15500000,5,5,125,"6 Marla House for Sale, 5 bedrooms, 5 bathrooms, located in Bani Gala, Islamabad",Bani Gala,6 marla,https://www.graana.com/property/listing-1550936/,6 Marla House for Sale,synthesized,2026-08-18T02:48:51+0500
1550912,35000000,6,6,209,10 Marla brand new House For Sale 6 bed attach bath 2 tv lounch and 2 kitchen Big Car porch and garden 40 ft street size House size 30x90Gass bejli paani Demand 3.50 croreLocation University town uper Banigala Rd Barakhu Islamabad,Bhara Kahu,10 marla,https://www.graana.com/property/listing-1550912/,10 Marla house for sale,graana,2026-08-18T02:48:55+0500
1550890,14500000,4,4,105,"5 Marla House for Sale, 4 bedrooms, 4 bathrooms, located in Bahria Enclave, Islamabad Condition: Excellent - in a good shape & well maintained.",Bahria Enclave,5 marla,https://www.graana.com/property/listing-1550890/,5 Marla House for Sale,enriched,2026-08-18T02:48:59+0500
